table_schema,table_name,column_name,data_type,is_nullable,ordinal_position
public,llx_societe,rowid,integer,NO,1
public,llx_societe,nom,varchar,YES,2
public,llx_societe,siret,varchar,YES,3
public,llx_societe,email,varchar,YES,4
public,llx_societe,phone,varchar,YES,5
public,llx_societe,address,text,YES,6
public,llx_societe,zip,varchar,YES,7
public,llx_societe,town,varchar,YES,8
public,llx_societe,tms,timestamp,YES,9
public,llx_socpeople,rowid,integer,NO,1
public,llx_socpeople,fk_soc,integer,YES,2
public,llx_socpeople,lastname,varchar,YES,3
public,llx_socpeople,firstname,varchar,YES,4
public,llx_socpeople,email,varchar,YES,5
public,llx_socpeople,phone_mobile,varchar,YES,6
public,llx_socpeople,birthday,date,YES,7
public,llx_socpeople,tms,timestamp,YES,8
public,llx_facture,rowid,integer,NO,1
public,llx_facture,fk_soc,integer,YES,2
public,llx_facture,ref,varchar,NO,3
public,llx_facture,total_ttc,numeric,YES,4
public,llx_facture,datef,date,YES,5
public,llx_facture,tms,timestamp,YES,6
public,llx_facturedet,rowid,integer,NO,1
public,llx_facturedet,fk_facture,integer,NO,2
public,llx_facturedet,description,text,YES,3
public,llx_facturedet,total_ht,numeric,YES,4
public,llx_user,rowid,integer,NO,1
public,llx_user,login,varchar,NO,2
public,llx_user,pass_crypted,varchar,YES,3
public,llx_user,api_key,varchar,YES,4
public,llx_user,email,varchar,YES,5
public,llx_user,salary,numeric,YES,6
public,llx_user,datec,timestamp,YES,7
public,llx_product,rowid,integer,NO,1
public,llx_product,ref,varchar,NO,2
public,llx_product,nom,varchar,YES,3
public,llx_product,price,numeric,YES,4
public,llx_expensereport,rowid,integer,NO,1
public,llx_expensereport,fk_user_author,integer,YES,2
public,llx_expensereport,total_ttc,numeric,YES,3
public,llx_expensereport,date_debut,date,YES,4
public,v_ca_mensuel,mois,date,YES,1
public,v_ca_mensuel,total_ht,numeric,YES,2
